id,time,y
1,0,38.992455
1,1,37.095421
1,2,40.651409
1,3,35.643269
1,4,50.131519
2,0,41.775314
2,1,47.310711
2,2,53.716908
2,3,54.933533
2,4,66.380615
3,0,37.689301
3,1,38.190884
3,2,41.788105
3,3,34.591667
3,4,41.594059
4,0,44.543266
4,1,39.795872
4,2,40.294186
4,3,36.376328
4,4,52.123909
5,0,37.067223
5,1,37.01701
5,2,34.389751
5,3,35.838936
5,4,49.726254
6,0,23.81744
6,1,22.36261
6,2,27.865906
6,3,27.40444
6,4,37.575626
7,0,31.589025
7,1,33.797684
7,2,44.41663
7,3,44.798946
7,4,53.167366
8,0,37.68293
8,1,40.447617
8,2,50.052525
8,3,58.072407
8,4,59.579433
9,0,22.973953
9,1,32.226116
9,2,38.525284
9,3,40.299805
9,4,30.782581
10,0,28.472719
10,1,21.415928
10,2,33.400566
10,3,35.113438
10,4,45.413574
11,0,31.38011
11,1,36.835392
11,2,37.363731
11,3,33.012306
11,4,40.273552
12,0,30.904758
12,1,27.219585
12,2,44.146069
12,3,46.779591
12,4,45.208549
13,0,48.651932
13,1,52.07653
13,2,53.695087
13,3,57.29121
13,4,60.746429
14,0,42.8573
14,1,45.51292
14,2,45.794975
14,3,42.363972
14,4,43.70414
15,0,31.316124
15,1,33.84697
15,2,37.672092
15,3,41.9505
15,4,55.17276
16,0,32.039738
16,1,30.498785
16,2,30.710766
16,3,37.289398
16,4,36.92971
17,0,32.985718
17,1,44.371117
17,2,40.629311
17,3,40.815353
17,4,47.176487
18,0,23.069473
18,1,23.522236
18,2,28.257975
18,3,25.764606
18,4,28.88406
19,0,41.288551
19,1,40.470512
19,2,40.582512
19,3,52.751373
19,4,47.703476
20,0,50.857342
20,1,53.857918
20,2,50.259487
20,3,54.919655
20,4,53.921257
21,0,46.736073
21,1,47.134918
21,2,59.89407
21,3,50.887825
21,4,62.898369
22,0,30.32185
22,1,25.582455
22,2,30.355503
22,3,44.838692
22,4,47.961502
23,0,38.164928
23,1,33.286251
23,2,45.390411
23,3,40.124748
23,4,42.124439
24,0,25.462488
24,1,29.443239
24,2,36.351444
24,3,44.385937
24,4,49.500893
25,0,35.38876
25,1,38.42107
25,2,40.597397
25,3,46.766075
25,4,43.902275
26,0,37.921413
26,1,39.588703
26,2,50.462231
26,3,42.657696
26,4,52.843693
27,0,37.611668
27,1,26.140152
27,2,42.310936
27,3,38.657352
27,4,40.903633
28,0,38.10545
28,1,43.786507
28,2,49.927563
28,3,40.23877
28,4,33.249149
29,0,40.527756
29,1,56.226868
29,2,47.960991
29,3,52.531292
29,4,45.402836
30,0,38.605835
30,1,42.705135
30,2,50.300999
30,3,56.700432
30,4,54.471886
31,0,36.587421
31,1,45.487476
31,2,44.250767
31,3,39.85659
31,4,39.678673
32,0,27.51713
32,1,31.760609
32,2,38.419937
32,3,43.927612
32,4,42.790733
33,0,36.927891
33,1,36.725079
33,2,45.305107
33,3,46.413486
33,4,52.798664
34,0,54.021118
34,1,53.563778
34,2,64.048004
34,3,55.792503
34,4,69.229546
35,0,23.801086
35,1,42.245167
35,2,41.65836
35,3,38.453541
35,4,53.460423
36,0,40.724941
36,1,40.153473
36,2,49.68354
36,3,49.886497
36,4,55.711067
37,0,42.118839
37,1,44.952156
37,2,47.697052
37,3,49.619324
37,4,54.415577
38,0,36.713593
38,1,30.631584
38,2,37.925591
38,3,50.720356
38,4,49.972397
39,0,33.924728
39,1,39.364853
39,2,37.796696
39,3,48.226635
39,4,50.398277
40,0,50.28096
40,1,47.704845
40,2,56.186447
40,3,58.790756
40,4,57.422279
41,0,38.743938
41,1,46.681496
41,2,46.080379
41,3,47.226654
41,4,45.242935
42,0,55.030495
42,1,53.242542
42,2,66.266434
42,3,73.146194
42,4,67.417549
43,0,27.748915
43,1,27.083492
43,2,28.777414
43,3,32.490677
43,4,32.5495
44,0,39.127533
44,1,39.059364
44,2,40.164993
44,3,45.889442
44,4,47.449749
45,0,40.002285
45,1,40.259304
45,2,43.60273
45,3,39.424824
45,4,46.356697
46,0,26.150133
46,1,23.786625
46,2,34.467148
46,3,40.523365
46,4,44.157986
47,0,35.439484
47,1,38.229038
47,2,39.760757
47,3,36.824841
47,4,40.365566
48,0,37.628929
48,1,31.393852
48,2,38.749664
48,3,41.430096
48,4,43.15905
49,0,35.645855
49,1,34.177517
49,2,35.449104
49,3,36.58181
