id,time,y
1,0,22.146126
1,1,24.06028
1,2,21.197824
1,3,29.523518
1,4,26.998585
2,0,46.40316
2,1,54.616196
2,2,57.537025
2,3,65.842949
2,4,69.999413
3,0,31.573614
3,1,33.151733
3,2,33.195473
3,3,39.359142
3,4,49.525749
4,0,28.902868
4,1,31.900286
4,2,37.006252
4,3,35.070251
4,4,39.618935
5,0,42.771271
5,1,47.693367
5,2,52.853905
5,3,53.687313
5,4,54.128616
6,0,30.222719
6,1,40.114574
6,2,40.363762
6,3,39.966953
6,4,49.231319
7,0,29.48778
7,1,36.211353
7,2,40.391193
7,3,47.281837
7,4,54.205101
8,0,34.001499
8,1,41.759094
8,2,50.791183
8,3,43.664505
8,4,44.178978
9,0,32.178402
9,1,29.366365
9,2,35.730881
9,3,40.327267
9,4,39.374264
10,0,39.87096
10,1,46.045437
10,2,40.159676
10,3,43.820049
10,4,54.475624
11,0,25.144037
11,1,36.393742
11,2,38.647125
11,3,39.718243
11,4,45.134113
12,0,38.931004
12,1,37.715298
12,2,38.676224
12,3,42.786678
12,4,52.333519
13,0,31.474819
13,1,31.767166
13,2,40.684666
13,3,38.327026
13,4,46.829842
14,0,30.403656
14,1,32.353439
14,2,38.738255
14,3,42.981647
14,4,44.503418
15,0,45.126881
15,1,50.720608
15,2,58.038776
15,3,56.86755
15,4,58.197186
16,0,34.14706
16,1,35.691364
16,2,37.74194
16,3,41.276348
16,4,48.979622
17,0,29.639557
17,1,31.295994
17,2,35.197788
17,3,38.026424
17,4,42.877068
18,0,37.661507
18,1,34.519489
18,2,40.093445
18,3,37.088905
18,4,45.741993
19,0,13.861273
19,1,19.099585
19,2,24.629486
19,3,28.120661
19,4,36.958168
20,0,35.954967
20,1,32.610661
20,2,34.781937
20,3,35.827335
20,4,43.461376
21,0,25.566208
21,1,23.674013
21,2,36.33049
21,3,33.103279
21,4,32.114925
22,0,26.185539
22,1,29.530249
22,2,29.88509
22,3,37.165001
22,4,41.734039
23,0,28.828573
23,1,38.232834
23,2,33.067394
23,3,41.903412
23,4,37.486412
24,0,25.997217
24,1,30.91976
24,2,34.740669
24,3,29.298183
24,4,34.554646
25,0,31.758089
25,1,26.214193
25,2,34.24754
25,3,38.355881
25,4,42.707058
26,0,33.60638
26,1,34.548077
26,2,32.635067
26,3,39.998188
26,4,39.24852
27,0,35.100475
27,1,49.83511
27,2,43.166451
27,3,43.413269
27,4,39.653797
28,0,28.71369
28,1,35.932365
28,2,38.370522
28,3,35.939926
28,4,36.286953
29,0,23.932837
29,1,27.894768
29,2,36.606323
29,3,33.376011
29,4,33.015644
30,0,49.153206
30,1,48.035145
30,2,44.552628
30,3,50.55769
30,4,63.710106
31,0,38.90144
31,1,38.412727
31,2,45.621529
31,3,51.699062
31,4,62.73452
32,0,31.972919
32,1,35.620625
32,2,37.569313
32,3,44.227165
32,4,53.82077
33,0,17.293888
33,1,24.484241
33,2,22.968845
33,3,24.451176
